date,event_type,election_name,impact_details,civic_status
2024-04-20,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-21,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-22,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-23,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-24,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-25,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-26,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-27,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-28,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-29,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-04-30,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-01,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-02,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-03,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-04,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-05,Campaigning,Lok Sabha 2024,"High Noise (Rallies), Traffic Diversions, Banners",MCC Active (No New Works)
2024-05-07,Voting Day,Lok Sabha 2024,"Public Holiday, Dry Day, High Security, Road Closures",MCC Active
2024-06-04,Counting Day,Lok Sabha 2024,"Victory Processions, Traffic Jams, Crackers, Noise",Normalizing
2026-02-05,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-06,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-07,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-08,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-09,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-10,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-11,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-12,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-13,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-14,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-15,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-16,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-17,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-18,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-19,Campaigning,VMC Election 2026,"Street Corner Meetings, Loudspeakers, Door-to-Door",MCC Active (No New Works)
2026-02-21,Voting Day,VMC Election 2026,"Local Holiday, School Closures, Neighborhood Crowds",MCC Active
2026-02-23,Counting Day,VMC Election 2026,"Local Victory Rallies, Noise, Firecrackers",Normalizing
