date,festival_name,impact_type,severity
2024-01-14,Uttarayan (Kite Festival),"Waste (Manja), Bird Injuries",High
2024-01-15,Uttarayan (Kite Festival),"Waste (Manja), Bird Injuries",High
2024-03-24,Holi & Dhuleti,"Water Wastage, Chemical Colors",Medium
2024-03-25,Holi & Dhuleti,"Water Wastage, Chemical Colors",Medium
2024-09-07,Ganesh Chaturthi (Start),"Traffic, Noise",Medium
2024-09-17,Ganesh Visarjan (End),"Water Pollution (Sursagar), Traffic, Debris",Critical
2024-10-03,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-04,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-05,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-06,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-07,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-08,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-09,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-10,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-11,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-12,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2024-10-29,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2024-10-30,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2024-10-31,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2024-11-01,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2024-11-02,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2024-11-03,Diwali Week,"Air Pollution (AQI Spike), Fire Waste, Noise",Critical
2025-01-14,Uttarayan (Kite Festival),"Waste (Manja), Bird Injuries",High
2025-01-15,Uttarayan (Kite Festival),"Waste (Manja), Bird Injuries",High
2025-03-13,Holi & Dhuleti,"Water Wastage, Chemical Colors",Medium
2025-03-14,Holi & Dhuleti,"Water Wastage, Chemical Colors",Medium
2025-08-27,Ganesh Chaturthi (Start),"Traffic, Noise",Medium
2025-09-06,Ganesh Visarjan (End),"Water Pollution, Traffic",Critical
2025-09-22,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-23,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-24,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-25,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-26,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-27,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-28,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-29,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-09-30,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-10-01,Navratri (Garba),"Noise (Late Night), Heavy Traffic",High
2025-10-18,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
2025-10-19,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
2025-10-20,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
2025-10-21,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
2025-10-22,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
2025-10-23,Diwali Week,"Air Pollution (AQI Spike), Fire Waste",Critical
